Domain Code,Domain,Area Code (FAO),Code,Area,Element Code,Element,Item Code,Year,Unit,Wheat and products,Rice and products,Barley and poducts,Apples and products,"Aquatic Animals, Others",Aquatic Plants,Bananas,Beer,"Beverages, Alcoholic","Beverages, Fermented",Bovine Meat,"Butter, Ghee",Cephalopods,"Cereals, Other","Citrus, Other",Cloves,Cocoa Beans and products,Coconuts - Incl Copra,Coffee and products,Cream,Crustaceans,Dates,Demersal Fish,Eggs,"Fats, Animals, Raw","Fish, Body Oil","Fish, Liver Oil",Freshwater Fish,"Fruits, Other",Grapefruit and products,Grapes and products (excl wine),Groundnut Oil,Groundnuts,Honey,"Lemons, Limes and products",Maize Germ Oil,"Marine Fish, Other","Meat, Other",Milk - Excluding Butter,"Molluscs, Other",Mutton & Goat Meat,Nuts and products,Oats,"Offals, Edible","Oilcrops Oil, Other",Olive Oil,Olives (including preserved),Onions,"Oranges, Mandarines",Pelagic Fish,Pepper,Pigmeat,Pimento,Plantains,Potatoes and products,Poultry Meat,"Pulses, Other and products",Rape and Mustardseed,Soyabean Oil,Soyabeans,"Spices, Other",Sugar (Raw Equivalent),Sunflowerseed Oil,"Sweeteners, Other",Tea (including mate),Tomatoes and products,"Vegetables, Other",Wine
FBS,Food Balances (2014-),167,CZE,Czechia,645,Food supply quantity (kg/capita/yr),2511,2016,kg,92.08,6.82,1.01,11.79,0,0,11.13,145.42,6.4,1,9.52,3.95,0.03,1.87,0.2,0,0,0.19,2.16,5.2,0.36,0.11,2.32,8.86,6.15,0,0,2.51,12.63,0.86,2.29,0.13,0.64,0.84,2.91,0.01,0.74,4.16,142.51,0.1,0.32,0.77,1.97,2.6,0.08,0.45,0.72,10.54,11.19,2.87,0.08,43.55,0.4,0.16,70.35,21.19,0.6,0,1.74,0.42,0.17,32.57,2.86,13.25,0.16,11.6,57.38,9.56
FBS,Food Balances (2014-),167,CZE,Czechia,645,Food supply quantity (kg/capita/yr),2511,2017,kg,83.42,6.91,0.11,12.07,0.01,0,11.02,147.74,14.07,1.04,9.78,3.66,0.04,1.18,0.33,0,0,0.19,2.12,5.39,0.37,0.16,2.55,8.77,6.06,0,0,2.5,12.84,0.76,5.87,0.13,0.68,0.84,3.09,0.01,0.81,4.35,146.04,0.12,0.32,0.83,2.29,2.45,0.08,0.46,0.72,9.48,10.74,2.93,0.07,44.01,0.4,0.27,69.62,21.97,0.64,0,1.43,0.44,0.18,34.19,2.97,14.1,0.21,10.35,60.91,9.82
FBS,Food Balances (2014-),167,CZE,Czechia,645,Food supply quantity (kg/capita/yr),2511,2018,kg,84.36,6.62,0.37,12.36,0.01,0,11.59,149.28,15.46,1.06,10.14,3.79,0.04,0.92,0.37,0,0,0.2,2.24,4.74,0.37,0.14,2.54,8.8,6.11,0,0,2.49,12.93,1.08,7.38,0.13,0.72,0.84,3.3,0.01,0.81,4.39,147.52,0.12,0.32,0.81,2.06,2.57,0.08,0.46,0.73,9.04,10.79,2.92,0.08,46.55,0.4,0.22,64,22.29,0.64,0,1.36,0.45,0.18,30.57,3.31,12.91,0.22,11.15,56.48,9.9
FBS,Food Balances (2014-),54,DNK,Denmark,645,Food supply quantity (kg/capita/yr),2511,2014,kg,87.44,5.25,0.02,6.73,0.02,0,13.35,61.74,3.4,0.11,25.8,2.37,0.12,0.04,0.51,0.01,0,0.32,8.38,9.36,4.83,0.63,4.11,16,7.77,3.91,0,1.83,15.08,0.5,8.57,0,0.56,0.65,1.93,0.12,0,0.83,233.04,1.42,0.88,2.67,7,5.46,0.45,0.99,0.64,7.58,7.65,11.1,0.17,18.53,0.12,0.45,57.49,23.72,0.21,0,0,0.15,1.18,41.94,0,12.2,0.32,13.8,76.1,29.12
FBS,Food Balances (2014-),54,DNK,Denmark,645,Food supply quantity (kg/capita/yr),2511,2015,kg,87.8,3.93,0.01,4.69,0.1,0,13.15,62.93,3.44,0.13,25.91,2.39,0.04,0.04,1.14,0.01,0,0.32,7.52,9.2,4.85,0.61,5.31,16.13,7.06,3.4,0,1.52,16.21,0.47,8.74,0,0.61,0.65,1.99,0.11,0,0.83,245.48,1.58,0.88,2.35,5.89,5.54,0.35,0.99,0.67,7.56,7.52,11.65,0.17,20.73,0.12,0.52,57.79,18.36,0.21,0,0,0.15,1.17,41.98,0,12.21,0.32,13.56,72.3,29.67
FBS,Food Balances (2014-),54,DNK,Denmark,645,Food supply quantity (kg/capita/yr),2511,2016,kg,91.12,4.34,0.01,2.94,0.02,0,11.81,63.24,3.49,0.36,25.84,2.79,0.05,0.04,0.98,0.01,0,0.32,7.65,9.43,4.97,0.6,5.79,15.94,6.42,2.81,0,1.51,19.27,0.48,7.64,0,0.59,0.65,2.07,0.1,0.01,1.46,234.4,1.57,0.89,2.22,5.54,4.53,0.45,0.99,0.67,9.37,8.19,10.9,0.17,23.7,0.12,0.28,58.69,26.13,0.21,0,0,0.15,1.18,42.05,0,12.23,0.78,13.05,74.96,24.32
FBS,Food Balances (2014-),54,DNK,Denmark,645,Food supply quantity (kg/capita/yr),2511,2017,kg,91.1,4.58,0.01,5.62,0.04,0,11.95,64.85,3.54,0,23.5,2.59,0.06,0.04,0.73,0.01,0,0.32,7.08,11.65,6.63,0.57,6.35,15.8,6.04,2.45,0,2.17,19.7,0.48,6.59,0,0.91,0.65,2.21,0.13,0,1.3,228.38,1.45,0.9,2.19,5.13,5.69,0.48,1,0.67,10.03,8.76,10.01,0.17,25.8,0.12,0.09,59.89,25.36,0.21,0,0,0.15,1.19,42.37,0,12.25,0.75,12.95,78.39,25.48
FBS,Food Balances (2014-),54,DNK,Denmark,645,Food supply quantity (kg/capita/yr),2511,2018,kg,85.2,4.4,0.01,3.27,0.04,0,14.52,63.91,3.61,0.31,23.52,2.6,0.06,0.09,0.53,0.01,0,0.33,7.03,8.51,6.61,0.53,6.33,15.88,7.56,2.44,0,2.16,21.48,0.47,6.53,0,1.03,0.65,2.62,0.09,0,1.41,244.23,1.45,0.84,2.44,3.78,6.98,0.57,1,0.68,6.74,10.05,9.98,0.15,26.66,0.12,0.02,56.92,26.9,0.21,0,0,0.15,1.2,43.3,0,12.29,0.78,13.84,83.58,26.35
FBS,Food Balances (2014-),63,EST,Estonia,645,Food supply quantity (kg/capita/yr),2511,2014,kg,63.53,2.58,10.15,16.44,0.01,0,10.7,101.19,24.25,2.99,6.35,2.9,0.39,1.21,0.08,0.01,0,0.02,4.52,0.62,0.95,0.08,7.63,12.13,0.07,0,0.01,1.35,15.42,1.26,13.29,0,0.22,0.84,1.44,0.28,0,0.08,263.66,0.51,0.45,1.65,3.71,2.76,4,0.42,0.41,4.69,10.93,1.8,0.23,33.09,0.42,0,70.91,19.82,0.01,0,0.33,0.09,0.4,20.28,0.3,40.39,0.41,14.41,77.35,14.54
FBS,Food Balances (2014-),63,EST,Estonia,645,Food supply quantity (kg/capita/yr),2511,2015,kg,58.98,2.66,7.53,14.93,0,0,13.38,101.54,21.66,0,6.51,3.56,0.5,1.35,0.09,0.01,0,0.02,3.92,2.56,1.51,0.08,6.8,12.14,0.17,0,0.01,1.21,19.14,1.28,12.76,0,0.24,0.85,1.57,0.28,0,0.13,286.55,0.69,0.45,1.69,3.94,3.63,3.89,0.42,0.43,4.62,11.77,1.67,0.23,36.88,0.42,0,71.3,20.65,0.01,0,0.22,0.09,0.49,17.04,0.99,36.56,0.41,14.44,92.77,14.71
